pick_date,ticker,direction,score,entry_close,exit_date,exit_close,return_pct,spy_return_pct,beat_spy,no_call
2026-07-21,DHR,LONG,79,179.01,2026-07-28,199.03,11.18,-1.0,True,False
2026-07-21,DRAM,WATCH,20,58.85,2026-07-28,47.7,-18.95,-1.0,,True
2026-07-21,HIHO,LONG,74,1.07,2026-07-28,1.09,1.87,-1.0,True,False
2026-07-21,NOK,LONG,40,10.63,2026-07-28,8.905,-16.23,-1.0,False,False
2026-07-21,RDGT,WATCH,34,1.47,2026-07-28,1.16,-21.09,-1.0,,True
2026-07-21,SLGB,LONG,61,0.9799,2026-07-28,0.5684,-41.99,-1.0,False,False
2026-07-21,SOXL,WATCH,20,158.54,2026-07-28,109.42,-30.98,-1.0,,True
2026-07-21,SOXS,LONG,35,45.13,2026-07-28,62.93,39.44,-1.0,True,False
2026-07-21,UTZ,SHORT,35,14.06,2026-07-28,14.08,-0.14,-1.0,True,False
2026-07-21,ZYBT,WATCH,47,2.85,2026-07-28,1.33,-53.33,-1.0,,True
2026-07-22,ADVB,WATCH,29,12.25,2026-07-29,10.98,-10.37,-2.39,,True
2026-07-22,ARWR,WATCH,27,88.7,2026-07-29,86.22,-2.8,-2.39,,True
2026-07-22,DRAM,WATCH,15,57.77,2026-07-29,44.72,-22.59,-2.39,,True
2026-07-22,LABT,WATCH,15,3.41,2026-07-29,1.98,-41.94,-2.39,,True
2026-07-22,SMCI,LONG,88,30.56,2026-07-29,25.7,-15.9,-2.39,False,False
2026-07-22,SNXX,WATCH,15,18.02,2026-07-29,6.84,-62.04,-2.39,,True
2026-07-22,SOXL,WATCH,20,160.99,2026-07-29,91.99,-42.86,-2.39,,True
2026-07-22,SOXS,LONG,40,44.52,2026-07-29,73.11,64.22,-2.39,True,False
2026-07-22,T,LONG,74,23.04,2026-07-29,23.945,3.93,-2.39,True,False
2026-07-22,ZCMD,WATCH,15,4.29,2026-07-29,1.06,-75.29,-2.39,,True
2026-07-23,ADVB,LONG,68,16.78,2026-07-30,10.08,-39.93,0.48,False,False
2026-07-23,DOMO,LONG,64,3.95,2026-07-30,3.7,-6.33,0.48,False,False
2026-07-23,MEDP,WATCH,55,605.82,2026-07-30,578.3,-4.54,0.48,,True
2026-07-23,NOK,LONG,92,9.6806,2026-07-30,9.075,-6.26,0.48,False,False
2026-07-23,SNXX,WATCH,41,18.32,2026-07-30,10.46,-42.9,0.48,,True
2026-07-23,SOXS,LONG,40,45.61,2026-07-30,53.98,18.35,0.48,True,False
2026-07-23,SQQQ,LONG,42,43.27,2026-07-30,44.62,3.12,0.48,True,False
2026-07-23,TSLL,LONG,35,7.76,2026-07-30,7.21,-7.09,0.48,False,False
2026-07-23,TSLQ,LONG,30,25.86,2026-07-30,27.52,6.42,0.48,True,False
2026-07-23,ZCMD,WATCH,25,1.73,2026-07-30,1.28,-26.01,0.48,,True
2026-07-24,DRAM,LONG,35,53.2,2026-07-31,50.36,-5.34,1.08,False,False
2026-07-24,INTC,LONG,76,92.32,2026-07-31,90.2,-2.3,1.08,False,False
2026-07-24,JEM,WATCH,39,6.35,2026-07-31,4.94,-22.2,1.08,,True
2026-07-24,LVWR,LONG,93,1.46,2026-07-31,1.79,22.6,1.08,True,False
2026-07-24,NOK,LONG,65,9.0538,2026-07-31,9.1,0.51,1.08,False,False
2026-07-24,SKYQ,LONG,62,4.7,2026-07-31,4.65,-1.06,1.08,False,False
2026-07-24,SOXS,LONG,35,51.53,2026-07-31,54.25,5.28,1.08,True,False
2026-07-24,THC,LONG,98,233.2,2026-07-31,254.83,9.28,1.08,True,False
2026-07-24,TSLL,LONG,35,7.42,2026-07-31,7.31,-1.48,1.08,False,False
2026-07-24,WLDS,LONG,56,3.53,2026-07-31,2.56,-27.48,1.08,False,False
2026-07-27,BIYA,WATCH,36,4.17,2026-08-03,3.1,-25.66,2.51,,True
2026-07-27,CAPR,WATCH,31,6.995,2026-08-03,4.2,-39.96,2.51,,True
2026-07-27,DFNS,WATCH,36,13.1,2026-08-03,61.5,369.47,2.51,,True
2026-07-27,ENTX,LONG,80,3.92,2026-08-03,2.96,-24.49,2.51,False,False
2026-07-27,FBRX,WATCH,60,76.5,2026-08-03,76.61,0.14,2.51,,True
2026-07-27,LGHL,WATCH,34,1.07,2026-08-03,0.9294,-13.14,2.51,,True
2026-07-27,MTNB,WATCH,32,0.332,2026-08-03,0.3035,-8.58,2.51,,True
2026-07-27,NOK,LONG,53,9.2329,2026-08-03,9.35,1.27,2.51,False,False
2026-07-27,SOXS,LONG,35,54.93,2026-08-03,53.1,-3.33,2.51,False,False
2026-07-27,TSLL,LONG,30,7.24,2026-08-03,7.81,7.87,2.51,True,False
2026-07-28,AMKR,WATCH,55,45.69,2026-08-04,55.87,22.28,4.1,,True
2026-07-28,BIYA,WATCH,49,6.44,2026-08-04,2.84,-55.9,4.1,,True
2026-07-28,CISS,WATCH,37,0.167,2026-08-04,0.0881,-47.25,4.1,,True
2026-07-28,DFNS,WATCH,36,24.0,2026-08-04,47.36,97.33,4.1,,True
2026-07-28,GOSS,LONG,100,0.2051,2026-08-04,0.1815,-11.51,4.1,False,False
2026-07-28,NOK,LONG,44,8.93,2026-08-04,9.93,11.2,4.1,True,False
2026-07-28,NVDA,WATCH,55,197.01,2026-08-04,211.94,7.58,4.1,,True
2026-07-28,REPL,SHORT,77,5.35,2026-08-04,11.92,-122.8,4.1,False,False
2026-07-28,SNXX,WATCH,46,8.04,2026-08-04,12.74,58.46,4.1,,True
2026-07-28,SOXS,LONG,40,62.87,2026-08-04,42.41,-32.54,4.1,False,False
2026-07-29,AMIX,SHORT,50,4.57,2026-08-05,12.1,-164.77,5.53,False,False
2026-07-29,CBZ,LONG,99,54.9,2026-08-05,54.8,-0.18,5.53,False,False
2026-07-29,DFNS,LONG,61,50.22,2026-08-05,45.91,-8.58,5.53,False,False
2026-07-29,KORU,WATCH,41,12.08,2026-08-05,18.43,52.57,5.53,,True
2026-07-29,SKDD,LONG,35,21.24,2026-08-05,13.06,-38.51,5.53,False,False
2026-07-29,SKHY,LONG,40,126.79,2026-08-05,151.03,19.12,5.53,True,False
2026-07-29,SKUU,LONG,35,15.1,2026-08-05,20.65,36.75,5.53,True,False
2026-07-29,SNXX,WATCH,59,6.9,2026-08-05,11.38,64.93,5.53,,True
2026-07-29,SOFI,LONG,96,15.25,2026-08-05,18.25,19.67,5.53,True,False
2026-07-29,VRRM,WATCH,64,5.1,2026-08-05,5.61,10.0,5.53,,True
2026-07-30,ALNY,WATCH,64,205.48,2026-08-06,216.12,5.18,3.63,,True
2026-07-30,INTC,LONG,71,91.13,2026-08-06,99.81,9.52,3.63,True,False
2026-07-30,KORU,WATCH,53,16.28,2026-08-06,16.81,3.26,3.63,,True
2026-07-30,MSFT,LONG,93,451.1,2026-08-06,499.86,10.81,3.63,True,False
2026-07-30,NOK,LONG,63,9.09,2026-08-06,9.425,3.69,3.63,True,False
2026-07-30,NUWE,LONG,73,4.45,2026-08-06,1.63,-63.37,3.63,False,False
2026-07-30,SIMO,LONG,65,255.1,2026-08-06,267.43,4.83,3.63,True,False
2026-07-30,SOXL,WATCH,46,114.72,2026-08-06,132.37,15.39,3.63,,True
2026-07-30,TQQQ,WATCH,46,63.3,2026-08-06,72.03,13.79,3.63,,True
